year,disease,vaccine,reported_cases,vaccine_recommend
1985,Hepatitis B,HepB,26611,1994
1986,Hepatitis B,HepB,26107,1994
1987,Hepatitis B,HepB,25916,1994
1988,Hepatitis B,HepB,23177,1994
1989,Hepatitis B,HepB,23419,1994
1990,Hepatitis B,HepB,21102,1994
1991,Hepatitis B,HepB,18003,1994
1992,Hepatitis B,HepB,16126,1994
1993,Hepatitis B,HepB,13361,1994
1994,Hepatitis B,HepB,12517,1994
1995,Hepatitis B,HepB,10805,1994
1996,Hepatitis B,HepB,10637,1994
1997,Hepatitis B,HepB,10416,1994
1998,Hepatitis B,HepB,10258,1994
1999,Hepatitis B,HepB,7694,1994
2000,Hepatitis B,HepB,8036,1994
2001,Hepatitis B,HepB,7843,1994
2002,Hepatitis B,HepB,7996,1994
2003,Hepatitis B,HepB,7526,1994
2004,Hepatitis B,HepB,6212,1994
2005,Hepatitis B,HepB,5119,1994
2006,Hepatitis B,HepB,4713,1994
2007,Hepatitis B,HepB,4519,1994
2008,Hepatitis B,HepB,4033,1994
2009,Hepatitis B,HepB,3405,1994
2010,Hepatitis B,HepB,3374,1994
2011,Hepatitis B,HepB,2903,1994
2012,Hepatitis B,HepB,2895,1994
2013,Hepatitis B,HepB,3050,1994
2014,Hepatitis B,HepB,2791,1994
2015,Hepatitis B,HepB,3370,1994
2016,Hepatitis B,HepB,3218,1994
1969,Measles,MMR,25826,1971
1970,Measles,MMR,47351,1971
1971,Measles,MMR,75290,1971
1972,Measles,MMR,32275,1971
1973,Measles,MMR,26690,1971
1974,Measles,MMR,22094,1971
1975,Measles,MMR,24374,1971
1976,Measles,MMR,41126,1971
1977,Measles,MMR,57345,1971
1978,Measles,MMR,26871,1971
1979,Measles,MMR,13597,1971
1980,Measles,MMR,13506,1971
1981,Measles,MMR,3124,1971
1982,Measles,MMR,1714,1971
1983,Measles,MMR,1497,1971
1984,Measles,MMR,2587,1971
1985,Measles,MMR,2822,1971
1986,Measles,MMR,6282,1971
1987,Measles,MMR,3655,1971
1988,Measles,MMR,3396,1971
1989,Measles,MMR,18193,1971
1990,Measles,MMR,27786,1971
1991,Measles,MMR,9643,1971
1992,Measles,MMR,2237,1971
1993,Measles,MMR,312,1971
1994,Measles,MMR,963,1971
1995,Measles,MMR,309,1971
1996,Measles,MMR,508,1971
1997,Measles,MMR,138,1971
1998,Measles,MMR,100,1971
1999,Measles,MMR,100,1971
2000,Measles,MMR,86,1971
2001,Measles,MMR,116,1971
2002,Measles,MMR,44,1971
2003,Measles,MMR,56,1971
2004,Measles,MMR,37,1971
2005,Measles,MMR,66,1971
2006,Measles,MMR,55,1971
2007,Measles,MMR,43,1971
2008,Measles,MMR,140,1971
2009,Measles,MMR,71,1971
2010,Measles,MMR,63,1971
2011,Measles,MMR,220,1971
2012,Measles,MMR,55,1971
2013,Measles,MMR,187,1971
2014,Measles,MMR,667,1971
2015,Measles,MMR,188,1971
2016,Measles,MMR,85,1971
1969,Mumps,MMR,90918,1971
1970,Mumps,MMR,104953,1971
1971,Mumps,MMR,124939,1971
1972,Mumps,MMR,74215,1971
1973,Mumps,MMR,69612,1971
1974,Mumps,MMR,59128,1971
1975,Mumps,MMR,59647,1971
1976,Mumps,MMR,38492,1971
1977,Mumps,MMR,21436,1971
1978,Mumps,MMR,16817,1971
1979,Mumps,MMR,14225,1971
1980,Mumps,MMR,8576,1971
1981,Mumps,MMR,4941,1971
1982,Mumps,MMR,5270,1971
1983,Mumps,MMR,3355,1971
1984,Mumps,MMR,3021,1971
1985,Mumps,MMR,2982,1971
1986,Mumps,MMR,7790,1971
1987,Mumps,MMR,12848,1971
1988,Mumps,MMR,4866,1971
1989,Mumps,MMR,5712,1971
1990,Mumps,MMR,5292,1971
1991,Mumps,MMR,4264,1971
1992,Mumps,MMR,2572,1971
1993,Mumps,MMR,1692,1971
1994,Mumps,MMR,1537,1971
1995,Mumps,MMR,906,1971
1996,Mumps,MMR,751,1971
1997,Mumps,MMR,683,1971
1998,Mumps,MMR,666,1971
1999,Mumps,MMR,387,1971
2000,Mumps,MMR,338,1971
2001,Mumps,MMR,266,1971
2002,Mumps,MMR,270,1971
2003,Mumps,MMR,231,1971
2004,Mumps,MMR,258,1971
2005,Mumps,MMR,314,1971
2006,Mumps,MMR,6584,1971
2007,Mumps,MMR,800,1971
2008,Mumps,MMR,454,1971
2009,Mumps,MMR,1991,1971
2010,Mumps,MMR,2612,1971
2011,Mumps,MMR,404,1971
2012,Mumps,MMR,229,1971
2013,Mumps,MMR,584,1971
2014,Mumps,MMR,1223,1971
2015,Mumps,MMR,1329,1971
2016,Mumps,MMR,6369,1971
1969,Pertussis,Dtap,3285,1949
1970,Pertussis,Dtap,4249,1949
1971,Pertussis,Dtap,3036,1949
1972,Pertussis,Dtap,3287,1949
1973,Pertussis,Dtap,1759,1949
1974,Pertussis,Dtap,2402,1949
1975,Pertussis,Dtap,1738,1949
1976,Pertussis,Dtap,1010,1949
1977,Pertussis,Dtap,2177,1949
1978,Pertussis,Dtap,2063,1949
1979,Pertussis,Dtap,1623,1949
1980,Pertussis,Dtap,1730,1949
1981,Pertussis,Dtap,1248,1949
1982,Pertussis,Dtap,1898,1949
1983,Pertussis,Dtap,2463,1949
1984,Pertussis,Dtap,2276,1949
1985,Pertussis,Dtap,3589,1949
1986,Pertussis,Dtap,4195,1949
1987,Pertussis,Dtap,2823,1949
1988,Pertussis,Dtap,3450,1949
1989,Pertussis,Dtap,4157,1949
1990,Pertussis,Dtap,4570,1949
1991,Pertussis,Dtap,2719,1949
1992,Pertussis,Dtap,4083,1949
1993,Pertussis,Dtap,6586,1949
1994,Pertussis,Dtap,4617,1949
1995,Pertussis,Dtap,5137,1949
1996,Pertussis,Dtap,7796,1949
1997,Pertussis,Dtap,6564,1949
1998,Pertussis,Dtap,7405,1949
1999,Pertussis,Dtap,7288,1949
2000,Pertussis,Dtap,7867,1949
2001,Pertussis,Dtap,7580,1949
2002,Pertussis,Dtap,9771,1949
2003,Pertussis,Dtap,11647,1949
2004,Pertussis,Dtap,25827,1949
2005,Pertussis,Dtap,25616,1949
2006,Pertussis,Dtap,15632,1949
2007,Pertussis,Dtap,10454,1949
2008,Pertussis,Dtap,13278,1949
2009,Pertussis,Dtap,16858,1949
2010,Pertussis,Dtap,27550,1949
2011,Pertussis,Dtap,18719,1949
2012,Pertussis,Dtap,48277,1949
2013,Pertussis,Dtap,28639,1949
2014,Pertussis,Dtap,32971,1949
2015,Pertussis,Dtap,20762,1949
2016,Pertussis,Dtap,17972,1949
1969,Polio,IPV,18,1961
1970,Polio,IPV,31,1961
1971,Polio,IPV,17,1961
1972,Polio,IPV,29,1961
1973,Polio,IPV,7,1961
1974,Polio,IPV,7,1961
1975,Polio,IPV,13,1961
1976,Polio,IPV,10,1961
1977,Polio,IPV,19,1961
1978,Polio,IPV,8,1961
1979,Polio,IPV,22,1961
1980,Polio,IPV,9,1961
1981,Polio,IPV,10,1961
1982,Polio,IPV,12,1961
1983,Polio,IPV,13,1961
1984,Polio,IPV,9,1961
1985,Polio,IPV,8,1961
1986,Polio,IPV,10,1961
1987,Polio,IPV,9,1961
1988,Polio,IPV,9,1961
1989,Polio,IPV,11,1961
1990,Polio,IPV,6,1961
1991,Polio,IPV,10,1961
1992,Polio,IPV,6,1961
1993,Polio,IPV,4,1961
1994,Polio,IPV,8,1961
1995,Polio,IPV,7,1961
1996,Polio,IPV,5,1961
1997,Polio,IPV,5,1961
1998,Polio,IPV,1,1961
1999,Polio,IPV,0,1961
2000,Polio,IPV,0,1961
2001,Polio,IPV,0,1961
2002,Polio,IPV,0,1961
2003,Polio,IPV,0,1961
2004,Polio,IPV,0,1961
2005,Polio,IPV,1,1961
2006,Polio,IPV,0,1961
2007,Polio,IPV,0,1961
2008,Polio,IPV,0,1961
2009,Polio,IPV,1,1961
2010,Polio,IPV,0,1961
2011,Polio,IPV,0,1961
2012,Polio,IPV,0,1961
2013,Polio,IPV,1,1961
2014,Polio,IPV,0,1961
2015,Polio,IPV,0,1961
2016,Polio,IPV,0,1961
2010,Pneumococcal (all ages),PCV,16569,2001
2011,Pneumococcal (all ages),PCV,17138,2001
2012,Pneumococcal (all ages),PCV,15635,2001
2013,Pneumococcal (all ages),PCV,17193,2001
2014,Pneumococcal (all ages),PCV,15356,2001
2015,Pneumococcal (all ages),PCV,16163,2001
2016,Pneumococcal (all ages),PCV,17626,2001
2010,Pneumococcal (age < 5 yr),PCV,2186,2001
2011,Pneumococcal (age < 5 yr),PCV,1459,2001
2012,Pneumococcal (age < 5 yr),PCV,1266,2001
2013,Pneumococcal (age < 5 yr),PCV,1171,2001
2014,Pneumococcal (age < 5 yr),PCV,1065,2001
2015,Pneumococcal (age < 5 yr),PCV,1177,2001
2016,Pneumococcal (age < 5 yr),PCV,1142,2001
1969,Rubella,MMR,57686,1971
1970,Rubella,MMR,56552,1971
1971,Rubella,MMR,45086,1971
1972,Rubella,MMR,25507,1971
1973,Rubella,MMR,27804,1971
1974,Rubella,MMR,11917,1971
1975,Rubella,MMR,16652,1971
1976,Rubella,MMR,12491,1971
1977,Rubella,MMR,20395,1971
1978,Rubella,MMR,18269,1971
1979,Rubella,MMR,11795,1971
1980,Rubella,MMR,3904,1971
1981,Rubella,MMR,2077,1971
1982,Rubella,MMR,2325,1971
1983,Rubella,MMR,970,1971
1984,Rubella,MMR,752,1971
1985,Rubella,MMR,630,1971
1986,Rubella,MMR,551,1971
1987,Rubella,MMR,306,1971
1988,Rubella,MMR,225,1971
1989,Rubella,MMR,396,1971
1990,Rubella,MMR,1125,1971
1991,Rubella,MMR,1401,1971
1992,Rubella,MMR,160,1971
1993,Rubella,MMR,192,1971
1994,Rubella,MMR,227,1971
1995,Rubella,MMR,128,1971
1996,Rubella,MMR,238,1971
1997,Rubella,MMR,181,1971
1998,Rubella,MMR,364,1971
1999,Rubella,MMR,267,1971
2000,Rubella,MMR,176,1971
2001,Rubella,MMR,23,1971
2002,Rubella,MMR,18,1971
2003,Rubella,MMR,7,1971
2004,Rubella,MMR,10,1971
2005,Rubella,MMR,11,1971
2006,Rubella,MMR,11,1971
2007,Rubella,MMR,12,1971
2008,Rubella,MMR,16,1971
2009,Rubella,MMR,3,1971
2010,Rubella,MMR,5,1971
2011,Rubella,MMR,4,1971
2012,Rubella,MMR,9,1971
2013,Rubella,MMR,9,1971
2014,Rubella,MMR,6,1971
2015,Rubella,MMR,5,1971
2016,Rubella,MMR,1,1971
1969,Tetanus,Dtap,192,1949
1970,Tetanus,Dtap,148,1949
1971,Tetanus,Dtap,116,1949
1972,Tetanus,Dtap,128,1949
1973,Tetanus,Dtap,101,1949
1974,Tetanus,Dtap,101,1949
1975,Tetanus,Dtap,102,1949
1976,Tetanus,Dtap,75,1949
1977,Tetanus,Dtap,87,1949
1978,Tetanus,Dtap,86,1949
1979,Tetanus,Dtap,81,1949
1980,Tetanus,Dtap,95,1949
1981,Tetanus,Dtap,72,1949
1982,Tetanus,Dtap,88,1949
1983,Tetanus,Dtap,91,1949
1984,Tetanus,Dtap,74,1949
1985,Tetanus,Dtap,83,1949
1986,Tetanus,Dtap,64,1949
1987,Tetanus,Dtap,48,1949
1988,Tetanus,Dtap,53,1949
1989,Tetanus,Dtap,53,1949
1990,Tetanus,Dtap,64,1949
1991,Tetanus,Dtap,57,1949
1992,Tetanus,Dtap,45,1949
1993,Tetanus,Dtap,48,1949
1994,Tetanus,Dtap,51,1949
1995,Tetanus,Dtap,41,1949
1996,Tetanus,Dtap,36,1949
1997,Tetanus,Dtap,50,1949
1998,Tetanus,Dtap,41,1949
1999,Tetanus,Dtap,40,1949
2000,Tetanus,Dtap,35,1949
2001,Tetanus,Dtap,37,1949
2002,Tetanus,Dtap,25,1949
2003,Tetanus,Dtap,20,1949
2004,Tetanus,Dtap,34,1949
2005,Tetanus,Dtap,27,1949
2006,Tetanus,Dtap,41,1949
2007,Tetanus,Dtap,28,1949
2008,Tetanus,Dtap,19,1949
2009,Tetanus,Dtap,18,1949
2010,Tetanus,Dtap,26,1949
2011,Tetanus,Dtap,36,1949
2012,Tetanus,Dtap,37,1949
2013,Tetanus,Dtap,26,1949
2014,Tetanus,Dtap,25,1949
2015,Tetanus,Dtap,29,1949
2016,Tetanus,Dtap,34,1949
